exp_id,type,hypothesis,base_config,changed_factor,fixed_factors,seeds,status,run_dir,best_checkpoint,metrics_path,paper_name,notes
NS00,combo_reference,"lower-groundwater-only Q at 1e-8 improves balanced switch identification","wide bank parFC x0.5/x2; all-state Q 1e-7","Q structure=lower_groundwater_state_only; Q scale=1e-8","truth noise sigma=0.02; generated observations; candidate bank; forcing; switch schedule; event rule",0-1,completed_exploratory,results/23_camels_switch_confirmation/g2_switch_confirmation_v01_noise_n03_slzonly_q1e8_s01_20260808_local,,g2_events.csv,exploratory_reference,"1062/1062 success; design seeds only; not validation"
NS01,q_magnitude,"larger lower-groundwater-only Q may improve calibration without losing switch response",NS00,"Q scale=1e-6","Q structure and all data-generating factors",0-1,completed_exploratory_not_selected,results/23_camels_switch_confirmation/g2_switch_confirmation_v01_noise_qgrid50_ns01_slzonly_q1e6_s01_20260808_local,,g2_events.csv,exploratory_q_sweep,"100/100 success; first 50 registered basins"
NS02,q_magnitude,"larger lower-groundwater-only Q may improve calibration without losing switch response",NS00,"Q scale=3e-7","Q structure and all data-generating factors",0-1,completed_exploratory_not_selected,results/23_camels_switch_confirmation/g2_switch_confirmation_v01_noise_qgrid50_ns02_slzonly_q3e7_s01_20260808_local,,g2_events.csv,exploratory_q_sweep,"100/100 success; first 50 registered basins"
NS03,q_magnitude,"an intermediate lower-groundwater-only Q may improve the weakest direction",NS00,"Q scale=3e-8","Q structure and all data-generating factors",0-1,completed_exploratory_selected_process_reference,results/23_camels_switch_confirmation/g2_switch_confirmation_v01_noise_qgrid50_ns03_slzonly_q3e8_s01_20260808_local,,docs/plans/2026-08-09-camels-noise-screen-comparison-v01.csv,exploratory_q_sweep,"100/100 success; selected by registered 50-basin rule; overall 0.618333 and worst direction 0.39"
NS04,q_magnitude,"a smaller lower-groundwater-only Q may sharpen parameter evidence",NS00,"Q scale=3e-9","Q structure and all data-generating factors",0-1,completed_exploratory_not_selected,results/23_camels_switch_confirmation/g2_switch_confirmation_v01_noise_qgrid50_ns04_slzonly_q3e9_s01_20260808_local,,g2_events.csv,exploratory_q_sweep,"100/100 success; first 50 registered basins"
NS05,q_magnitude,"a smaller lower-groundwater-only Q may sharpen parameter evidence",NS00,"Q scale=1e-9","Q structure and all data-generating factors",0-1,completed_exploratory_not_selected,results/23_camels_switch_confirmation/g2_switch_confirmation_v01_noise_qgrid50_ns05_slzonly_q1e9_s01_20260808_local,,g2_events.csv,exploratory_q_sweep,"100/100 success; first 50 registered basins"
NP01,q_state_dependence,"state-proportional lower-groundwater variance may match multiplicative truth noise better",NS00,"Q_SLZ proportional to current SLZ squared at matched truth variance","generated truth and observations; candidate bank; event rule",0-1,completed_exploratory_not_selected,results/23_camels_switch_confirmation/g2_switch_confirmation_v01_noise_np50_np01_qstate1_r1_s01_20260809_local,,docs/plans/2026-08-09-camels-noise-screen-comparison-v01.csv,exploratory_noise_model,"100/100 success; overall 0.55 below 0.6183 eligibility threshold; exact truth and observation equality"
NP02,q_state_dependence,"quarter matched state-proportional variance may reduce state compensation",NP01,"Q variance multiplier=0.25","generated truth and observations; candidate bank; event rule",0-1,completed_exploratory_not_selected,results/23_camels_switch_confirmation/g2_switch_confirmation_v01_noise_np50_np02_qstate025_r1_s01_20260809_local,,docs/plans/2026-08-09-camels-noise-screen-comparison-v01.csv,exploratory_noise_model,"100/100 success; overall 0.585 below 0.6183 eligibility threshold; exact truth and observation equality"
NP03,q_state_dependence,"four-times matched state-proportional variance tests robustness",NP01,"Q variance multiplier=4","generated truth and observations; candidate bank; event rule",0-1,completed_exploratory_not_selected,results/23_camels_switch_confirmation/g2_switch_confirmation_v01_noise_np50_np03_qstate4_r1_s01_20260809_local,,docs/plans/2026-08-09-camels-noise-screen-comparison-v01.csv,exploratory_noise_model,"100/100 success; overall 0.538333 below 0.6183 eligibility threshold; exact truth and observation equality"
NR01,r_sensitivity,"lower assumed observation variance may sharpen evidence but risks overconfidence",NS03,"filter R variance multiplier=0.5","actual generated observations unchanged; fixed lower-groundwater Q=3e-8",0-1,completed_exploratory_not_selected,results/23_camels_switch_confirmation/g2_switch_confirmation_v01_noise_nr50_nr01_q3e8_r05_s01_20260809_local,,docs/plans/2026-08-09-camels-noise-screen-comparison-v01.csv,exploratory_r_sensitivity,"100/100 success; exact truth and observations; overall 0.61 and worst direction 0.38"
NR02,r_sensitivity,"higher assumed observation variance may improve calibration but delay response",NS03,"filter R variance multiplier=2","actual generated observations unchanged; fixed lower-groundwater Q=3e-8",0-1,completed_exploratory_not_selected,results/23_camels_switch_confirmation/g2_switch_confirmation_v01_noise_nr50_nr02_q3e8_r2_s01_20260809_local,,docs/plans/2026-08-09-camels-noise-screen-comparison-v01.csv,exploratory_r_sensitivity,"100/100 success; exact truth and observations; overall 0.61 and worst direction 0.36"
ND01,full_design_confirmation,"the selected fixed lower-groundwater process-noise setting retains its identification behavior across all 531 basins",NS03,"sample size increases from first 50 to all 531 registered basins","process scale=3e-8; lower-groundwater-only structure; observation variance multiplier=1; truth; observations; candidates; forcing; event rule",0-1,running,results/23_camels_switch_confirmation/g2_switch_confirmation_v01_noise_nd01_design531_q3e8_r1_s01_20260809_local,,g2_events.csv,exploratory_full_design_confirmation,"manifest docs/plans/2026-08-09-camels-nd01-design531-run-manifest.json; design seeds only; not validation; no v02 freeze"
