claim_id,paper_element,claim,artifact,source_files,script_or_command,status,notes
C01,Table 1 main benchmark,"Full-531 medians for GR4J, XAJ, HBV, LSTM single, and LSTM ensemble.",tables/main_benchmark.csv,results\10_global_conceptual_model_benchmark\camels_us_531_repro_v01\summary\gr4j_pdd_cma_FINAL_pt_v1_local_full.csv; results\10_global_conceptual_model_benchmark\camels_us_531_repro_v01\summary\xaj_pdd_cma_FINAL_pt_v1_5k3_local_full.csv; results\10_global_conceptual_model_benchmark\camels_us_531_repro_v01\summary\hbv_lite_cma_FINAL_pt_v1_warmup_local_full.csv; results\18_lstm_fair_531\_reports\compare_iter1_cudalstm_s100.json; results\18_lstm_fair_531\_reports\ensemble_cudalstm_maurer_8seed_per_basin.csv,python -X utf8 -m src.lstm_fair_531.scripts.build_manuscript_evidence_package,reproducible_from_saved_artifacts,No model rerun required; reads per-basin metric artifacts.
C02,Table 2 paired comparison,"LSTM ensemble paired deltas, win rates, Wilcoxon p-values, and bootstrap CIs vs conceptual models.",tables/paired.csv,results\18_lstm_fair_531\_reports\compare_iter2_cudalstm_8seed_ens.json,python -X utf8 -m src.lstm_fair_531.scripts.build_manuscript_evidence_package,auditable_from_saved_report,Statistical results are read from the audited ID18 compare report.
C03,Table 3 diagnostic metrics,"Conceptual-model KGE, bias, peak, low-flow, and split-gap diagnostic trade-offs.",tables/conceptual_diagnostics.csv,results\10_global_conceptual_model_benchmark\camels_us_531_repro_v01\summary\gr4j_pdd_cma_FINAL_pt_v1_local_full.csv; results\10_global_conceptual_model_benchmark\camels_us_531_repro_v01\summary\xaj_pdd_cma_FINAL_pt_v1_5k3_local_full.csv; results\10_global_conceptual_model_benchmark\camels_us_531_repro_v01\summary\hbv_lite_cma_FINAL_pt_v1_warmup_local_full.csv,python -X utf8 -m src.lstm_fair_531.scripts.build_manuscript_evidence_package,reproducible_from_saved_artifacts,These are conceptual-only summary diagnostics; LSTM residual diagnostics and advantage decomposition are tracked separately in D02-D06.
C04,Table 4 regime analysis,Regime-wise medians and counts where conceptual models beat the LSTM ensemble.,tables/regime_summary.csv,results\10_global_conceptual_model_benchmark\camels_us_531_repro_v01\diagnostic\cross_method_per_basin_nse.csv; results\18_lstm_fair_531\_reports\ensemble_cudalstm_maurer_8seed_per_basin.csv,python -X utf8 -m src.lstm_fair_531.scripts.build_manuscript_evidence_package,reproducible_from_saved_artifacts,Regime labels come from the existing diagnostic file.
C05,Figure 1 NSE CDF,NSE distribution contrast across conceptual models and LSTM references.,figures/fig1_nse_cdf.png,Same as C01,python -X utf8 -m src.lstm_fair_531.scripts.build_manuscript_evidence_package,reproducible_from_saved_artifacts,Generated with matplotlib Agg.
C06,Stale-reference audit,Known stale PET-bug and HBV-v7 references are excluded from active snapshot sources.,audit/stale_reference_audit.csv,src/lstm_fair_531/scripts/build_manuscript_evidence_package.py,python -X utf8 -m src.lstm_fair_531.scripts.build_manuscript_evidence_package,reproducible_active_snapshot_scan,The scan is intentionally limited to active snapshot sources so unrelated working-tree files cannot change package hashes.
C07,Parameter accounting table,Conceptual-model parameter counts distinguish nominal from effective active parameters.,tables/parameter_accounting.csv,src/xaj_global_pilot/gr4j_core.py; src/xaj_global_pilot/xaj_model.py; src/scl_hydro/hbv_lite_numpy.py,python -X utf8 -m src.lstm_fair_531.scripts.build_manuscript_evidence_package,reproducible_from_code_audit,XAJ has 20 nominal parameters but 18 effective active parameters under zero initial ice.
C08,Fairness audit table,External snow-module and calibration-protocol fairness checks are classified and linked to tests/code.,tables/fairness_audit.csv,test/test_id10_pdd_fairness.py; conceptual runners; calibration modules,python -X utf8 -m src.lstm_fair_531.scripts.build_manuscript_evidence_package,reproducible_from_tests_and_code_audit,Run pytest test/test_id10_pdd_fairness.py -q before relying on the effective-equivalence claim.
C09,Manuscript-ready claim map,"Each manuscript claim is tied to evidence, allowed wording, and a boundary condition.",manuscript_ready_claim_map.md,tables/main_benchmark.csv; tables/paired.csv; tables/oracle.csv; tables/fairness_audit.csv,python -X utf8 -m src.lstm_fair_531.scripts.build_manuscript_evidence_package,reproducible_from_saved_artifacts,"Use this file to keep the abstract, results, and discussion from overclaiming."
C10,Methods/Results/Limitations section draft,Paper-ready section prose reflects benchmark results and fairness boundaries.,manuscript_sections.md,tables/main_benchmark.csv; tables/paired.csv; tables/conceptual_diagnostics.csv; tables/regime_summary.csv; tables/oracle.csv,python -X utf8 -m src.lstm_fair_531.scripts.build_manuscript_evidence_package,reproducible_from_saved_artifacts,Draft prose is evidence-grounded but still needs final manuscript integration and citations.
