exp_id,type,hypothesis,base_config,changed_factor,fixed_factors,seeds,status,run_dir,best_checkpoint,metrics_path,paper_name,notes
g3_ideal_gate_param_switch_v01,known-truth validation,The true parameter candidate can be identified under favorable conditions,g3_ideal_gate_param_switch_v01.json,none,existing frozen contract,3301001-3303008,completed,results/23_hbv_multilead_joint_uncertainty/g3_ideal_gate_param_switch_v01,not applicable,summary.json,G3 identification gate,Historical sealed result
g3_phase2_interaction_value_param_switch_v01,forecast comparison,Full interaction adds identification and forecast value,g3_phase2_interaction_value_param_switch_v01.json,historical forecast used model switching,existing frozen truth and assimilation,3301001-3306757,completed,results/23_hbv_multilead_joint_uncertainty/g3_phase2_interaction_value_param_switch_v01,not applicable,summary.json,G3 historical forecast comparison,Historical sealed result
g3_forecast_weight_drift_param_switch_v01,diagnostic comparison,Forecast probability drift explains multi-day degradation,g3_forecast_weight_drift_param_switch_v01.json,forecast composition weights,existing frozen truth and assimilation,3301001-3307001,completed,results/23_hbv_multilead_joint_uncertainty/g3_forecast_weight_drift_param_switch_v01,not applicable,summary.json,G3 forecast drift diagnostic,Historical sealed result
g3_corrected_forecast_param_switch_v01,corrected forecast comparison,Full-interaction assimilation improves corrected 1-day 3-day or 7-day forecasts relative to no-interaction assimilation,g3_corrected_forecast_param_switch_v01.json,forecast model transition and cross-candidate state mixing removed,exact sealed truth observations candidates and assimilation,3301001-3307757,completed,results/23_hbv_multilead_joint_uncertainty/g3_corrected_forecast_param_switch_v01,not applicable,summary.json,G3 corrected forecast comparison,No detectable full-interaction forecast advantage at 1 3 or 7 days; replay and independent recomputation passed
g3_highest_posterior_forecast_param_switch_v01,diagnostic forecast comparison,Highest-posterior candidate selection improves 1-day 3-day or 7-day forecasts relative to posterior-weighted averaging,g3_highest_posterior_forecast_param_switch_v01.json,final forecast combination rule after shared no-state-interaction assimilation,exact sealed truth observations candidates assimilation and candidate forecasts,3301001-3308757,completed,results/23_hbv_multilead_joint_uncertainty/g3_highest_posterior_forecast_param_switch_v01,not applicable,summary.json,G3 highest-posterior forecast diagnostic,Independent recomputation and method review passed; no detectable highest-posterior advantage at 1 3 or 7 days; selection rule not retained
g3_state_weight_factorial_param_switch_v01,mechanism diagnostic,Final candidate-weight concentration and assimilation-interaction candidate forecast distributions jointly explain the absent forecast advantage,g3_state_weight_factorial_param_switch_v01.json,final candidate weights crossed with assimilation-interaction candidate forecast distributions,exact sealed truth observations candidates assimilation setup and frozen forecast contract,3301001-3310757,failed,results/23_hbv_multilead_joint_uncertainty/g3_state_weight_factorial_param_switch_v01,not applicable,not produced,G3 state-weight factorial forecast diagnostic,Formal attempt failed before scientific output because a 1.11e-16 probability roundoff triggered an over-strict guard; preregistration and logs retained; recovered as g3_state_weight_factorial_param_switch_v02
g3_state_weight_factorial_param_switch_v02,mechanism diagnostic,Final candidate-weight concentration and assimilation-interaction candidate forecast distributions jointly explain the absent forecast advantage,g3_state_weight_factorial_param_switch_v02.json,final candidate weights crossed with assimilation-interaction candidate forecast distributions,exact sealed truth observations candidates assimilation setup and frozen forecast contract,3301001-3310757,failed,results/23_hbv_multilead_joint_uncertainty/g3_state_weight_factorial_param_switch_v02,not applicable,not produced,G3 state-weight factorial forecast diagnostic,Formal attempt completed calculations but failed during a 267-character source-snapshot copy; incomplete evidence retained and is not a formal result; recovered as g3_state_weight_factorial_param_switch_v03
g3_state_weight_factorial_param_switch_v03,mechanism diagnostic,Final candidate-weight concentration and assimilation-interaction candidate forecast distributions jointly explain the absent forecast advantage,g3_state_weight_factorial_param_switch_v03.json,final candidate weights crossed with assimilation-interaction candidate forecast distributions,exact sealed truth observations candidates assimilation setup and frozen forecast contract,3301001-3310757,completed,results/23_hbv_multilead_joint_uncertainty/g3_state_weight_factorial_param_switch_v03,not applicable,summary.json,G3 state-weight factorial forecast diagnostic,Formal v03 completed; wrong-candidate joint trajectories were not practically equivalent; neither final-weight replacement nor assimilation-path candidate-forecast replacement produced a stable practically meaningful advantage; mechanism remains unresolved; package and independent audits passed
g3_lead_adaptive_readout_param_switch_v01,independent forecast readout confirmation,Lead-specific use of the final posterior improves forecasts without changing assimilation interaction,g3_lead_adaptive_readout_param_switch_v01.json,1-day uniform candidate averaging and 3-day 7-day highest-posterior candidate selection,candidate filters full interaction assimilation truth schedule noise levels and frozen forecast contract,7311001-7314001,completed,results/23_hbv_multilead_joint_uncertainty/g3_lead_adaptive_readout_param_switch_v01,not applicable,summary.json,G3 lead-adaptive posterior readout confirmation,Formal package and independent recomputation passed; all retention gates failed; rule rejected; no post-confirmation tuning
g3_temporal_posterior_readout_param_switch_v01,independent temporal posterior confirmation,Thirty-day mean posterior selection improves seven-day forecasts while preserving one-day forecasts,g3_temporal_posterior_readout_param_switch_v01.json,one-day final posterior weighting and three-day seven-day thirty-day mean posterior selection,candidate filters full interaction assimilation truth schedule noise levels and frozen forecast contract,7411001-7414001,completed,results/23_hbv_multilead_joint_uncertainty/g3_temporal_posterior_readout_param_switch_v01,not applicable,summary.json,G3 temporal posterior readout confirmation,Formal package and independent recomputation passed; selection accuracy was 97.92 percent but four forecast gates failed; rule rejected; no post-confirmation tuning
