exp_id,type,hypothesis,base_config,changed_factor,fixed_factors,seeds,status,run_dir,best_checkpoint,metrics_path,paper_name,notes
h01_end_to_end_smoke_v01,diagnostic_smoke,history-conditioned transitions can improve generated multi-lead flow loss,the fixed-transition fully interacting three-process-noise HBV-lite method,only the causal transition matrix produced from previous-day information,HBV-lite parameters; process covariances; observation variance; state contract; forcing generator,network 4101001; forcing 4102 prefix; process 4103 prefix; observation 4104 prefix; schedule 4105 prefix,registered,results/23_hbv_multilead_joint_uncertainty/h01_end_to_end_smoke_v01,results/23_hbv_multilead_joint_uncertainty/h01_end_to_end_smoke_v01/best_checkpoint.pt,results/23_hbv_multilead_joint_uncertainty/h01_end_to_end_smoke_v01/metrics.json,history-conditioned differentiable interacting multiple model HBV-lite,Generated-flow end-to-end smoke only; no scientific superiority claim
h02_transition_probability_recovery_v01,diagnostic_audit,history-conditioned transitions can recover the known duration-conditioned switching hazard,h01_end_to_end_smoke_v01,switch from mixed loss to generated-flow-only loss in one matched arm,HBV-lite parameters; three noise candidates; data seeds; split; two epochs; fixed matrix; h01 checkpoint,exact h01 seed policy and network initialization 4101001,registered,results/23_hbv_multilead_joint_uncertainty/h02_transition_probability_recovery_v01,results/23_hbv_multilead_joint_uncertainty/h02_transition_probability_recovery_v01/flow_only_best_checkpoint.pt,results/23_hbv_multilead_joint_uncertainty/h02_transition_probability_recovery_v01/probability_metrics.json,transition probability recovery audit,Score only the truth-conditioned active source row; no claim for unvisited rows or real basins
h03_hazard_supervision_retention_v01,combo_capability,known active-row probability supervision can teach switching hazard and survive flow-only fine-tuning,h02_transition_probability_recovery_v01,add balanced oracle-row Brier supervision then remove it for retention fine-tuning,HBV-lite parameters; three noise candidates; block seeds; split; filter; history inputs; forecast leads,network 4101001; exact h01 data seeds,registered,results/23_hbv_multilead_joint_uncertainty/h03_hazard_supervision_retention_v01,results/23_hbv_multilead_joint_uncertainty/h03_hazard_supervision_retention_v01/retention_best_checkpoint.pt,results/23_hbv_multilead_joint_uncertainty/h03_hazard_supervision_retention_v01/metrics.json,hazard supervision and flow retention capability,Combo experiment with preregistered synthetic capability and retention gates; no real-basin claim
h04_parameter_switch_capability_v01,combo_capability,causal history-conditioned transitions outperform fixed and learned history-free matrices under identifiable HBV-lite parameter switching,h03_hazard_supervision_retention_v01,switch truth and candidates from process-noise levels to three parK1 regimes and add a learned constant-matrix control,forcing generator; duration law; state contract; full interaction; fixed Q and R; end-to-end label-free loss,history network 6101001; static matrix 6101002; forcing 6102 prefix; process 6103 prefix; observation 6104 prefix; schedule 6105 prefix,preflight_failed,results/23_hbv_multilead_joint_uncertainty/h04_parameter_switch_capability_v01,,,parameter-switch history-conditioned transition capability,Training did not start because the frozen filter-free signal ratio was 1.623812496321584 below the preregistered 2.0 threshold
h05_stronger_parameter_switch_capability_v01,diagnostic_capability,causal history-conditioned transitions outperform fixed and learned history-free matrices under more widely separated HBV-lite parameter switching,h04_parameter_switch_capability_v01,widen only parK1 candidates from 0.12-center-0.65 to 0.04-center-0.80,forcing; duration law; state contract; fixed Q and R; splits; seeds; training budget; loss; capability gates,exact H04 seed policy including history network 6101001 and static matrix 6101002,completed_hold,results/23_hbv_multilead_joint_uncertainty/h05_stronger_parameter_switch_capability_v01,results/23_hbv_multilead_joint_uncertainty/h05_stronger_parameter_switch_capability_v01/history_best_checkpoint.pt,results/23_hbv_multilead_joint_uncertainty/h05_stronger_parameter_switch_capability_v01/metrics.json,stronger parameter-switch history-conditioned transition capability,Signal and legality gates passed but history-conditioned transition probability and forecast gates all failed; no further spacing tuning under this ID; no real-basin claim
h06_joint_no_transition_regularization_v01,objective_ablation,removing transition-matrix regularizers improves history-conditioned transition recovery and forecast value under the joint label-free objective,h05_stronger_parameter_switch_capability_v01,set transition KL and temporal smoothness weights from 0.001 to zero,parameter candidates; forcing; duration law; Q and R; splits; seeds; network; training budget; joint flow and evidence weights,exact H05 seed policy,completed_hold,results/23_hbv_multilead_joint_uncertainty/h06_joint_no_transition_regularization_v01,results/23_hbv_multilead_joint_uncertainty/h06_joint_no_transition_regularization_v01/history_best_checkpoint.pt,results/23_hbv_multilead_joint_uncertainty/h06_joint_no_transition_regularization_v01/metrics.json,joint objective without transition regularization,All probability and forecast gates failed; removing both transition regularizers changed the H05 history forecast loss by about 0.001 percent
h07_forecast_only_no_transition_regularization_v01,objective_ablation,multi-lead flow error alone improves history-conditioned transition recovery and forecast value,h06_joint_no_transition_regularization_v01,set one-step predictive evidence weight from 0.1 to zero,parameter candidates; forcing; duration law; Q and R; splits; seeds; network; training budget; zero transition regularizers,exact H05 seed policy,completed_hold,results/23_hbv_multilead_joint_uncertainty/h07_forecast_only_no_transition_regularization_v01,results/23_hbv_multilead_joint_uncertainty/h07_forecast_only_no_transition_regularization_v01/history_best_checkpoint.pt,results/23_hbv_multilead_joint_uncertainty/h07_forecast_only_no_transition_regularization_v01/metrics.json,multi-lead flow objective without transition regularization,All probability and forecast gates failed; history forecast loss was 10.064 percent worse than the learned constant transition control
h08_evidence_only_no_transition_regularization_v01,objective_ablation,one-step predictive evidence alone improves history-conditioned transition recovery and forecast value,h06_joint_no_transition_regularization_v01,set multi-lead flow error weight from 1.0 to zero,parameter candidates; forcing; duration law; Q and R; splits; seeds; network; training budget; zero transition regularizers,exact H05 seed policy,completed_hold,results/23_hbv_multilead_joint_uncertainty/h08_evidence_only_no_transition_regularization_v01,results/23_hbv_multilead_joint_uncertainty/h08_evidence_only_no_transition_regularization_v01/history_best_checkpoint.pt,results/23_hbv_multilead_joint_uncertainty/h08_evidence_only_no_transition_regularization_v01/metrics.json,one-step evidence objective without transition regularization,All probability and forecast gates failed; test evidence improved but history forecast loss was 2.526 percent worse and post-switch loss was 6.833 percent worse than the learned constant transition control
h09_common_filter_process_sd_0p1_v01,indirect_lower_zone_noise_control,reducing common assumed lower-zone groundwater process standard deviation changes parameter identification and history-conditioned performance,h08_evidence_only_no_transition_regularization_v01,change only common assumed lower-zone groundwater process standard deviation from 1.0 to 0.1,truth lower-zone process noise 1.0; candidates; forcing; observations; duration law; splits; seeds; network; evidence-only objective; training budget,exact H08 seed policy,completed_indirect_control,results/23_hbv_multilead_joint_uncertainty/h09_common_filter_process_sd_0p1_v01,results/23_hbv_multilead_joint_uncertainty/h09_common_filter_process_sd_0p1_v01/history_best_checkpoint.pt,results/23_hbv_multilead_joint_uncertainty/h09_common_filter_process_sd_0p1_v01/metrics.json,indirect lower-zone filter process noise control 0.1,Valid only as an indirect cross-state control because parK1 acts on the upper-zone groundwater state; it does not test direct matched-state compensation
h10_common_filter_process_sd_0p3_v01,indirect_lower_zone_noise_control,reducing common assumed lower-zone groundwater process standard deviation changes parameter identification and history-conditioned performance,h08_evidence_only_no_transition_regularization_v01,change only common assumed lower-zone groundwater process standard deviation from 1.0 to 0.3,truth lower-zone process noise 1.0; candidates; forcing; observations; duration law; splits; seeds; network; evidence-only objective; training budget,exact H08 seed policy,completed_indirect_control,results/23_hbv_multilead_joint_uncertainty/h10_common_filter_process_sd_0p3_v01,results/23_hbv_multilead_joint_uncertainty/h10_common_filter_process_sd_0p3_v01/history_best_checkpoint.pt,results/23_hbv_multilead_joint_uncertainty/h10_common_filter_process_sd_0p3_v01/metrics.json,indirect lower-zone filter process noise control 0.3,Valid only as an indirect cross-state control because parK1 acts on the upper-zone groundwater state; it does not test direct matched-state compensation
