exp_id,type,hypothesis,base_config,changed_factor,fixed_factors,seeds,status,run_dir,best_checkpoint,metrics_path,paper_name,notes
historical_band_pilot_v01,ablation,Explicit disjoint lag-band experts improve validation NSE over equal-input multiscale fusion,configs/pilot_v01.json,Prediction-level expert heads plus dynamic gate,"data split; basin list; lag bands; parameter budget; optimizer; epochs","100;200;300",protocol_invalid,results/26_historical_band_experts/pilot_v01,,results/26_historical_band_experts/pilot_v01/summary.json,,Raw numerical gate returned NO_GO; full discharge files were read before date masking and dropout placement was not matched
historical_band_pilot_v02,ablation,Explicit disjoint lag-band experts improve validation NSE over equal-input multiscale fusion,configs/pilot_v02.json,Prediction-level expert heads plus dynamic gate,"data split; basin list; lag bands; parameter budget; optimizer; epochs; thresholds","100;200;300",no_go,results/26_historical_band_experts/pilot_v02,,results/26_historical_band_experts/pilot_v02/summary.json,historical_band_experts_pilot_v02,Valid 60-basin internal-validation NO_GO; 5 of 6 frozen criteria failed; sealed formal benchmark not run
classic_lstm_historical_context_v03,staged_ablation,Single-output disjoint older-history context improves validation NSE beyond the exact and capacity-matched classic LSTM,configs/pilot_v03.json,Late concatenation or initial memory-state injection with one flow head,"60 basins; train and validation dates; five forcings; 27 statics; NSE loss; Adam; 30 epochs; learning-rate schedule; dropout; forget bias; gradient clipping; frozen lag bands","100;conditional:200;300",no_go_stage1,results/26_historical_band_experts/classic_lstm_historical_context_v03,,results/26_historical_band_experts/classic_lstm_historical_context_v03/summary.json,classic_lstm_historical_context_v03,"Seed 100 internal screen: late concat paired median delta +0.009156 versus exact classic and +0.003833 versus capacity control, win fraction 0.6167; initial memory +0.006626 versus exact and -0.007309 versus capacity control. Neither met all frozen gates; seeds 200 and 300 not run; sealed formal benchmark not run."
persistent_historical_context_v04,staged_ablation,Persistent or recent-conditioned disjoint historical forcing context improves validation NSE beyond exact classic parameter-matched classic and equal-information late concatenation,configs/pilot_v04.json,Persistent context at every recent step or recent-conditioned historical residual with one flow head,"60 basins; train and validation dates; five forcings; 27 statics; frozen lag bands; NSE loss; Adam; 30 epochs; learning-rate schedule; dropout; forget bias; gradient clipping","late concat confirmation:100;200;300;new models:100;conditional:200;300",no_go_internal,results/26_historical_band_experts/persistent_historical_context_v04,,results/26_historical_band_experts/persistent_historical_context_v04/summary.json,persistent_historical_context_v04,"Late concat three-seed mean paired median +0.003520 versus exact with bootstrap 95 percent interval [-0.007817,0.011875]; persistent context seed-100 +0.007795 versus exact and -0.005616 versus late concat; recent-conditioned residual +0.003454 versus exact and -0.005522 versus late concat. No new candidate passed stage 1; no conditional runs; sealed formal benchmark not run."
hierarchical_rich_historical_context_v05,combo_staged_ablation,Rich medium-history statistics and a higher-capacity hierarchical old-history encoder improve validation NSE beyond exact classic parameter-matched classic and prior late concatenation,configs/pilot_v05.json,Mean population-standard-deviation minimum and maximum history tokens plus five-year hierarchical old encoder with static-initialized states,"60 basins; train and validation dates; five Maurer forcings; 27 statics; frozen lag intervals; one flow head; NSE loss; Adam; 30 epochs; learning-rate schedule; dropout; forget bias; gradient clipping","100;conditional:200;300",no_go_internal,results/26_historical_band_experts/hierarchical_rich_historical_context_v05,,results/26_historical_band_experts/hierarchical_rich_historical_context_v05/summary.json,hierarchical_rich_historical_context_v05,"Seed-100 paired median delta -0.039934 versus exact classic -0.036840 versus capacity control and -0.052774 versus prior late concatenation; win fraction 0.3333; all four stage-1 gates failed; no conditional seeds; sealed formal benchmark not run."
D06-MASK,checkpoint_diagnostic,Post-training branch masking identifies how the frozen hierarchical rich-history checkpoint depends on recent medium and old representations,configs/diagnostic_mask_v06.json,Zero one or two encoded branch representations before the frozen linear head,"frozen version-05 checkpoint; 60 basins; internal validation dates; saved scaler; seven nonempty masks; no training",100,complete,results/26_historical_band_experts/strict_branch_masking_v06,,results/26_historical_band_experts/strict_branch_masking_v06/summary.json,strict_branch_masking_v06,"All-branch predictions exactly reproduce 43860 saved rows; recent-only median NSE 0.444846 versus full 0.607831 and classic 0.663391; recent-plus-old median 0.606065; diagnostic only with no causal attribution; sealed formal benchmark not read."
R06-NEST,reproduction,An inert-history recent-only nested control reproduces classic 256-unit LSTM training exactly,configs/strict_nesting_v06.json,Add frozen unexecuted history modules while preserving the exact active recent path,"60 basins; train and validation dates; five Maurer forcings; 27 statics; Adam; 30 epochs; learning-rate schedule; dropout; forget bias; gradient clipping; zero tolerance",100,complete_exact,results/26_historical_band_experts/strict_nesting_v06,,results/26_historical_band_experts/strict_nesting_v06/summary.json,strict_nesting_v06,"Thirty epochs and 18000 optimizer updates are bitwise exact for predictions losses gradients clipped gradients Adam states and active parameters; 43860 final predictions exactly match both the paired classic and frozen version-03 classic; median NSE 0.663391108390; candidate iteration 1 authorized; sealed formal benchmark not read."
E06-I01,staged_candidate,Three equal-width equal-structure historical LSTM experts improve internal validation beyond fresh classic capacity and legacy late-concat controls,configs/equal_experts_i01_v06.json,Use identical 32-input 256-hidden single-layer LSTMs for recent medium and old bands with branch-keyed dropout,"60 basins; train and validation dates; five Maurer forcings; 27 statics; frozen lag bands; one flow output; NSE loss; Adam; 30 epochs; learning-rate schedule; forget bias; gradient clipping; stage-one gates","100;conditional:200;300",no_go_stage1,results/26_historical_band_experts/equal_experts_i01_v06,,results/26_historical_band_experts/equal_experts_i01_v06/summary.json,equal_historical_experts_i01_v06,"Seed 100 candidate paired median delta -0.004165 versus fresh classic -0.006303 versus capacity control and -0.011427 versus frozen legacy late concatenation; 29 of 60 basin wins; all four gates failed; conditional seeds not run; candidate recent-only median 0.616533 versus classic 0.682709 shows joint-training drift; sealed formal benchmark not read."
E06-I02,staged_candidate,Frozen fully trained recent expert plus two equal-width historical experts improves internal validation beyond fresh classic capacity and legacy late-concat controls,configs/frozen_recent_residual_i02_v06.json,Freeze the exact trained recent encoder and output then train only equal-width medium and old experts as an additive residual,"60 basins; train and validation dates; five Maurer forcings; 27 statics; frozen lag bands; one flow output; weighted squared-error loss; Adam; 30 history epochs; learning-rate schedule; branch-keyed dropout; stage-one gates","100;conditional:200;300",no_go_stage1,results/26_historical_band_experts/frozen_recent_residual_i02_v06,,results/26_historical_band_experts/frozen_recent_residual_i02_v06/summary.json,frozen_recent_residual_i02_v06,"Seed 100 paired median delta +0.000628 versus fresh classic +0.002937 versus capacity control and -0.007234 versus frozen legacy late concatenation; 36 of 60 basin wins; two of four gates failed; conditional seeds not run; recent parameters and float32-roundtrip predictions remained exact; sealed formal benchmark not read."
E06-I03,staged_candidate,Frozen fully trained recent expert initialized by two equal-width historical expert states improves internal validation beyond fresh classic capacity and legacy late-concat controls,configs/history_state_i03_v06.json,Use zero-initialized diagonal gates on medium and old hidden and cell states to initialize the frozen recent LSTM with one recent output head,"60 basins; train and validation dates; five Maurer forcings; 27 statics; frozen lag bands; one flow output; weighted squared-error loss; Adam; 30 history epochs; learning-rate schedule; branch-keyed state dropout; stage-one gates","100;conditional:200;300",no_go_stage1,results/26_historical_band_experts/history_state_i03_v06,,results/26_historical_band_experts/history_state_i03_v06/summary.json,frozen_recent_history_state_i03_v06,"Seed 100 paired median delta +0.000208 versus fresh classic -0.001300 versus capacity control and -0.007055 versus frozen legacy late concatenation; 34 of 60 basin wins; three of four gates failed; conditional seeds not run; initial prediction and recent parameters remained exact; sealed formal benchmark not read."
